fd_eps,N,F_value
0.1,1000,45.03395930306792
0.01,1000,48.871440377293155
0.001,1000,50.55716077495454
0.1,10000,149.8710630448306
0.01,10000,156.9758965868884
0.001,10000,155.005459337467
0.0001,1000,50.92434635571596
0.01,100000,497.9193950025862
0.1,100000,462.29180749039125
0.0001,10000,158.11735519980013
0.001,100000,497.401082837741
1e-05,1000,50.202614237242244
0.0001,100000,498.1835183249255
1e-05,10000,158.24285896953987
1e-05,100000,500.1560712280927
0.001,1000000,1576.8871825587435
0.01,1000000,1579.728670236354
0.1,1000000,1480.4662654967776
0.0001,1000000,1576.5844869243037
1e-05,1000000,1578.71966179617
